204.243.130.1|000|2/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.2|000|2/26/2001 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.3|000|2/26/2001 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.55|000|2/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.5|000|2/26/2003 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.5|000|2/26/2001 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.5|000|2/26/2004 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.51|000|2/26/2005 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.25|000|4/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.51|000|2/26/2001 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.5|000|2/26/2005 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.23|000|2/26/2001 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.5|000|2/26/2001 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.32|000|2/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.5|000|2/26/2005 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.5|000|3/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.45|000|2/26/2001 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.5|000|2/26/2001 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.5|000|2/26/2001 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.33|000|2/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.5|000|2/26/2007 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.5|000|2/26/2007 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
204.243.130.5|000|2/26/2001 3:34:52 PM|-6.0|/|200|8437|http://metacrawler.com/crawler?general=dimensional+modeling|Mozilla/4.5 [en] (Win98; I)
204.243.130.5|000|2/26/2008 3:34:53 PM|-6.0|/logo1.gif|200|1900|http://www.clickstreamconsulting.com/|Mozilla/4.5 [en](Win98; I)
204.243.130.5|000|2/26/2001 3:35:26 PM|-6.0|/articles.html|200|7363|http://www.clickstreamconsulting.com/|Mozilla/4.5[en] (Win98; I)
